api-uat02.mcf.co.id	10.90.5.2
cldapi-uat.mcf.co.id	10.90.5.2
e-talent-uat.mcf.co.id	10.90.5.2
bpa.maf.co.id	10.90.4.2
doku-ui.mcf.co.id	10.90.4.2
e-procurement.mcf.co.id	10.90.4.2
kreduit-repayment.mcf.co.id	10.90.4.2
bpa.mcf.co.id	10.90.4.2
uatdr-smart.mcf.co.id	10.90.2.249
uat-tracker.mcf.co.id	10.90.2.247
uat-repo.mcf.co.id	10.90.2.246
uat-db.mcf.co.id	10.90.2.245
uat-dms.mcf.co.id	10.90.2.244
uat-dashboard.mcf.co.id	10.90.2.237
uat-rpa.mcf.co.id	10.90.2.237
uat-smart.mcf.co.id	10.90.2.237
dev-dashboard.mcf.co.id	10.90.2.234
dev-rpa.mcf.co.id	10.90.2.234
dev-smart.mcf.co.id	10.90.2.234
emat-dev.mcf.co.id	10.90.1.98
emat.mcf.co.id	10.90.1.90
dms.mcf.co.id	10.90.1.85
dashboard.mcf.co.id	10.90.1.84
rpa.mcf.co.id	10.90.1.84
smart.mcf.co.id	10.90.1.84
onlinecareer.mcf.co.id	10.200.255.9
collection.mcf.co.id	10.200.255.8
www.maf.co.id	10.200.255.7
www.mcf.co.id	10.200.255.6
vision.mcf.co.id	10.200.255.48
vision.maf.co.id	10.200.255.47
pilot-api-fincore.maf.co.id	10.200.255.46
stg-api-fincore.maf.co.id	10.200.255.46
stg-api-r4-fincore.maf.co.id	10.200.255.46
pilot-api-fincore.mcf.co.id	10.200.255.46
stg-api-fincore.mcf.co.id	10.200.255.46
stg-api-r4-fincore.mcf.co.id	10.200.255.46
finapi.mcf.co.id	10.200.255.39
m-fincore-r2.maf.co.id	10.200.255.38
m-fincore-r2.mcf.co.id	10.200.255.37
api-slikcheck.mcf.co.id	10.200.255.24
uat-api-gkmsetor.mcf.co.id	10.200.255.21
macf-sync.mcf.co.id	10.200.255.15
payment.mcf.co.id	10.200.255.14
api.mcf.co.id	10.200.255.13
hc.mcf.co.id	10.200.255.12
tracker.mcf.co.id	10.200.255.11
hrd.mcf.co.id	10.200.255.10
mrtg.mcf.co.id	10.10.1.2
m-fincore-r4.maf.co.id	10.200.255.130
m-fincore-r4.mcf.co.id	10.200.255.130
